step,amount,oldbalanceOrig,oldbalanceDest,isFraud,trans_frequency_Dest,avg_trans_amount_Dest,variability_trans_amount_Dest,big_trans_flag,zero_new_balance_Dest_flag,zero_new_balance_Orig_flag,CASH_IN,CASH_OUT,DEBIT,TRANSFER
326,16769.79,15952.0,0.0,0,1,16769.79,0.0,0,1,1,0,0,0,0
18,7858.1,20773.0,0.0,0,1,7858.1,0.0,0,1,0,0,0,0,0
300,292037.17,0.0,953736.46,0,11,183111.57272727272,136548.84997874175,0,0,1,0,0,0,1
257,63982.69,0.0,95692.27,0,17,135276.7888235294,93146.82758468528,0,0,1,0,0,0,1
353,153216.34,7920054.5,474744.05,0,9,146213.37,77138.669397014,0,0,0,1,0,0,0
155,3170.83,49631.0,0.0,0,1,3170.83,0.0,0,1,0,0,0,0,0
20,107313.94,0.0,1813650.37,0,45,412916.9513333333,543343.477183967,0,0,1,0,1,0,0
202,134328.08,0.0,1137825.22,0,14,270302.78642857145,280924.9064695607,0,0,1,0,1,0,0
12,10446.68,0.0,0.0,0,1,10446.68,0.0,0,1,1,0,0,0,0
323,214059.76,61891.0,0.0,0,4,184341.065,108417.42044918687,0,0,1,0,1,0,0
305,313733.83,10603.0,0.0,0,2,184894.25,182206.6814064534,0,1,0,1,0,0,0
348,22200.81,1608898.38,235527.08,0,6,92513.85666666667,90784.12200810836,0,0,0,1,0,0,0
12,178217.38,0.0,4501961.18,0,26,451768.8853846154,687701.8641682161,0,0,1,0,1,0,0
229,220486.58,0.0,2269179.58,0,21,254473.4014285714,310463.6675858479,0,0,1,0,1,0,0
396,875213.55,0.0,4309830.28,0,25,269005.0416,216644.3019847037,1,0,1,0,0,0,1
11,14459.22,39948.0,0.0,0,1,14459.22,0.0,0,1,0,0,0,0,0
236,121422.39,0.0,1626826.73,0,20,207346.3205,130248.00339282375,0,0,1,0,1,0,0
154,39590.21,0.0,318883.91,0,20,278522.0605,228434.4766099085,0,0,1,0,1,0,0
301,273339.15,339571.0,696280.86,0,15,497828.5853333333,1308810.0668547372,0,0,0,0,1,0,0
7,77253.21,1091.15,471444.0,0,53,394020.2020754717,955781.6838321324,0,0,1,0,1,0,0
10,74190.1,249729.76,318930.32,0,31,208370.3190322581,169763.2036745585,0,0,0,0,1,0,0
253,231641.71,0.0,1833515.56,0,14,304334.0007142857,360413.91536633583,0,0,1,0,1,0,0
191,35269.59,1377518.85,610488.88,0,12,163757.7725,185518.8510628457,0,0,0,1,0,0,0
207,95024.86,0.0,186797.47,0,15,155787.06533333333,111437.32038689904,0,0,1,0,1,0,0
302,386023.54,0.0,389015.34,0,7,228158.41857142857,103921.58695783796,1,0,1,0,1,0,0
212,116135.75,204673.0,0.0,0,6,107690.14666666668,31077.4067057962,0,1,0,1,0,0,0
328,212884.77,0.0,2277569.78,0,13,264132.9030769231,393924.43001215626,0,0,1,0,1,0,0
137,305973.1,392034.0,0.0,0,12,196741.7125,138157.887812893,0,1,0,1,0,0,0
94,162920.46,8643332.42,7520724.02,0,19,236438.1615789474,289389.72346919344,0,0,0,1,0,0,0
374,255955.77,2002.0,0.0,0,3,210672.42666666667,73126.00203549647,0,0,1,0,1,0,0
250,4987.09,299610.0,0.0,0,1,4987.09,0.0,0,1,0,0,0,0,0
42,107141.17,12453.0,259702.29,0,16,146993.898125,100920.35451945904,0,0,1,0,1,0,0
155,45301.79,0.0,1278399.51,0,20,235713.784,183975.20034746072,0,0,1,0,1,0,0
234,115712.36,0.0,1098693.52,0,14,178856.86571428573,117203.91634362936,0,0,1,0,0,0,1
656,5220.64,2062.0,0.0,0,1,5220.64,0.0,0,1,1,0,0,0,0
374,91206.28,109671.0,41086.89,0,5,104024.21,29621.7886663407,0,1,0,1,0,0,0
299,20936.47,7182.0,0.0,0,1,20936.47,0.0,0,1,1,0,0,0,0
182,173655.13,159039.0,163853.98,0,19,227741.41684210525,176751.30841754802,0,0,1,0,1,0,0
330,218540.35,0.0,8530150.36,0,21,368323.5795238096,497638.5005593711,0,0,1,0,1,0,0
39,440759.52,0.0,933334.67,0,25,151216.6188,146860.36037041986,1,0,1,0,1,0,0
249,268912.48,0.0,1111399.5,0,12,174611.725,149582.38684242757,0,0,1,0,0,0,1
191,245.4,0.0,0.0,0,1,245.4,0.0,0,1,1,0,0,0,0
331,35206.18,0.0,142763.66,0,2,86672.795,72784.78494243456,0,0,1,0,0,0,1
136,13382.29,0.0,0.0,0,1,13382.29,0.0,0,1,1,0,0,0,0
252,4859.63,4106822.89,251879.35,0,3,14186.54,14909.025710263566,0,0,0,1,0,0,0
41,518339.83,0.0,7554201.05,0,40,519901.2425,913705.2307683034,1,0,1,0,0,0,1
39,451310.12,54987.0,974842.68,0,30,348687.692,483756.8307791939,1,0,1,0,0,0,1
346,161121.07,1888481.45,412090.16,0,4,159841.82,175736.42585228392,0,0,0,1,0,0,0
644,49364.07,41623.0,158009.13,0,6,82018.03333333334,48658.09176609032,0,0,1,0,1,0,0
374,92119.49,3297740.33,1950696.11,0,15,212895.50333333333,152241.11532360085,0,0,0,1,0,0,0
355,282508.76,23379.0,66891.81,0,1,282508.76,0.0,0,1,0,1,0,0,0
236,813462.62,153223.0,67479.59,0,8,207154.73875,270102.9481363271,1,0,1,0,0,0,1
307,53797.94,113452.0,309554.38,0,16,154945.29125,168894.43809088832,0,0,0,0,1,0,0
225,82797.84,31931.0,0.0,0,1,82797.84,0.0,0,1,1,0,0,0,0
40,529508.88,8049.0,0.0,0,24,225842.2333333333,158387.3017578359,1,0,1,0,1,0,0
303,13763.87,0.0,0.0,0,1,13763.87,0.0,0,1,1,0,0,0,0
350,13176.51,0.0,0.0,0,1,13176.51,0.0,0,1,1,0,0,0,0
335,58760.91,480859.24,0.0,0,1,58760.91,0.0,0,1,0,0,0,0,0
322,1096.42,11227.0,1013259.91,0,8,299672.55625,183783.1650717432,0,0,0,0,0,1,0
232,42843.05,0.0,3758226.36,0,40,231109.805,246593.6837527434,0,0,1,0,1,0,0
227,74833.8,1392489.11,158074.64,0,10,161371.689,117610.80155189033,0,0,0,1,0,0,0
301,206764.77,1767.0,774962.57,0,21,134303.41047619047,95571.26796712194,0,0,0,1,0,0,0
399,164032.21,227653.0,0.0,0,5,181931.2,124705.5202337974,0,0,0,0,1,0,0
590,9296.83,0.0,0.0,0,1,9296.83,0.0,0,1,1,0,0,0,0
255,235731.9,14954.0,2981264.46,0,19,273371.7878947368,270476.5879829861,0,0,1,0,1,0,0
187,142259.85,22861.0,211427.16,0,12,151842.22916666666,107472.70374466263,0,0,1,0,1,0,0
356,8164.01,0.0,0.0,0,1,8164.01,0.0,0,1,1,0,0,0,0
348,95263.11,7356221.51,143134.82,0,7,72196.92,61735.72771807532,0,0,0,1,0,0,0
300,249585.52,12086210.8,468270.14,0,12,322834.72833333333,515257.3264010752,0,0,0,1,0,0,0
177,396792.55,793.0,0.0,0,10,189724.894,145976.21704130323,1,1,0,1,0,0,0
201,15068.73,0.0,0.0,0,1,15068.73,0.0,0,1,1,0,0,0,0
184,440773.08,0.0,1138196.74,0,24,226823.79,197734.50332567387,1,0,1,0,1,0,0
155,14298.25,0.0,0.0,0,1,14298.25,0.0,0,1,1,0,0,0,0
185,78108.5,16856365.12,238095.59,0,8,197451.84625,112431.569772135,0,0,0,1,0,0,0
249,12596.61,0.0,0.0,0,1,12596.61,0.0,0,1,1,0,0,0,0
177,31141.94,1362949.88,1669373.11,0,18,194105.2333333333,207924.04830396464,0,0,0,1,0,0,0
373,1251.94,0.0,0.0,0,1,1251.94,0.0,0,1,1,0,0,0,0
382,1068.21,4006.95,0.0,0,1,1068.21,0.0,0,1,0,0,0,0,0
95,455834.18,563701.88,2838201.48,0,30,327037.049,458598.5948664765,1,0,0,1,0,0,0
132,14511.02,0.0,0.0,0,1,14511.02,0.0,0,1,1,0,0,0,0
322,28591.42,0.0,1211089.44,0,10,162029.135,118759.20425465736,0,0,1,0,1,0,0
19,193890.52,26921.0,232872.2,0,17,188589.4411764706,262530.41760253406,0,0,0,1,0,0,0
129,129041.74,265.0,0.0,0,6,134366.44833333333,96238.92564663582,0,0,1,0,1,0,0
132,215925.55,0.0,411942.41,0,10,168924.51,107385.27311505975,0,0,1,0,1,0,0
183,136964.13,0.0,3926844.12,0,36,276993.89166666666,397011.4181540328,0,0,1,0,1,0,0
44,3551.26,843.47,0.0,0,1,3551.26,0.0,0,1,1,0,0,0,0
7,1331086.47,15432.0,59949.22,0,48,292774.16520833335,317934.2557974188,1,0,1,0,0,0,1
393,244211.66,0.0,880497.39,0,10,176111.761,72642.30591276109,0,0,1,0,1,0,0
206,2901.96,56324.0,0.0,0,1,2901.96,0.0,0,1,0,0,0,0,0
396,386669.45,0.0,699568.7,0,20,181417.1975,131065.08229775654,1,0,1,0,1,0,0
157,24104.54,0.0,0.0,0,1,24104.54,0.0,0,1,1,0,0,0,0
204,265293.29,351.0,2215022.18,0,10,339744.507,448340.6161362788,0,0,0,1,0,0,0
18,619.31,965806.14,0.0,0,18,265267.5833333333,230458.7449064674,0,0,0,0,1,0,0
306,875582.25,94595.97,9622156.32,0,7,221933.98714285716,290867.59233707027,1,0,1,0,0,0,1
330,54330.72,0.0,176658.69,0,7,134974.41142857142,87187.38349897716,0,0,1,0,1,0,0
249,13344.1,7292.0,0.0,0,1,13344.1,0.0,0,1,1,0,0,0,0
289,8579.34,20366.0,0.0,0,1,8579.34,0.0,0,1,0,0,0,0,0
46,163051.33,15392.0,2463135.58,0,40,242747.4575,280562.75326991675,0,0,1,0,1,0,0
301,110568.66,2056769.3,175630.33,0,14,113815.11357142858,111746.01027881417,0,0,0,1,0,0,0
154,22434.71,10420.14,0.0,0,1,22434.71,0.0,0,1,1,0,0,0,0
10,313664.24,0.0,9150645.97,0,45,379015.39311111113,508582.2712168612,0,0,1,0,1,0,0
208,125991.42,7310.0,822675.7,0,13,166429.3623076923,113295.78582579207,0,0,1,0,1,0,0
349,93496.01,0.0,2087164.19,0,16,219311.4525,265013.99854048184,0,0,1,0,1,0,0
156,113147.72,3985489.64,213116.03,0,17,188775.86294117649,146607.83933221723,0,0,0,1,0,0,0
208,437371.03,0.0,564026.21,0,11,155545.1018181818,122534.00619634942,1,0,1,0,0,0,1
18,7848.71,196040.06,0.0,0,1,7848.71,0.0,0,1,0,0,0,0,0
253,296870.15,13201.0,118599.44,0,2,165858.83500000002,185277.9784973337,0,1,0,1,0,0,0
395,46773.06,7600788.34,3521517.05,0,18,308408.0905555556,733783.2444413084,0,0,0,1,0,0,0
328,106799.55,876341.87,980615.68,0,21,149551.16095238095,96249.16205024664,0,0,0,1,0,0,0
278,327534.3,0.0,1067390.45,0,13,323439.8984615384,338944.07191918214,0,0,1,0,0,0,1
518,153990.5,201778.0,0.0,0,8,174721.445,38863.21113067362,0,0,0,0,0,0,1
42,935639.61,89771.37,2037867.29,0,27,386465.8085185185,500694.54340768367,1,0,1,0,0,0,1
258,423808.74,0.0,755968.04,0,13,293503.0515384615,311769.5017102304,1,0,1,0,1,0,0
164,12209.45,16901.0,0.0,0,1,12209.45,0.0,0,1,0,0,0,0,0
353,220141.98,10089.0,1352478.87,0,8,196577.60625,71747.49770049725,0,0,0,1,0,0,0
34,320395.22,1158528.94,405213.09,0,16,211374.815,142952.20254704903,0,0,0,1,0,0,0
140,5222.23,30296.0,0.0,0,1,5222.23,0.0,0,1,0,0,0,0,0
233,29279.51,0.0,0.0,0,1,29279.51,0.0,0,1,1,0,0,0,0
255,206.84,25968.18,0.0,0,1,206.84,0.0,0,1,0,0,0,0,0
137,71997.46,0.0,594918.75,0,12,234992.645,214752.7192491394,0,0,1,0,1,0,0
15,135411.69,0.0,1182915.15,0,29,212909.4306896552,167946.19850205403,0,0,1,0,1,0,0
210,68324.55,0.0,324774.11,0,9,139620.9988888889,92386.97020496418,0,0,1,0,0,0,1
129,29158.25,480.0,72959.23,0,14,149292.09142857144,133343.96040259948,0,0,0,1,0,0,0
154,297656.83,1018457.76,841526.89,0,14,171662.96285714285,219450.73845928095,0,0,0,1,0,0,0
275,156765.52,0.0,383977.55,0,17,149113.03235294117,166364.52539124113,0,0,1,0,1,0,0
683,93483.23,93483.23,86882.3,1,3,60121.84333333333,29057.679886127054,0,0,1,0,1,0,0
43,218440.55,52085.0,0.0,0,8,142561.315,72360.83433078995,0,0,1,0,1,0,0
402,14872.25,276972.22,0.0,0,1,14872.25,0.0,0,1,0,0,0,0,0
300,25540.34,50002.0,0.0,0,1,25540.34,0.0,0,1,0,0,0,0,0
41,336.46,50076.0,0.0,0,1,336.46,0.0,0,1,0,0,0,0,0
216,46031.43,0.0,255950.5,0,15,269286.77599999995,297822.0311019571,0,0,1,0,1,0,0
